product,ratio,model_type,accuracy,roc_auc,pr_auc,precision_good,precision_bad,recall_good,recall_bad,f1_score_good,f1_score_bad
croissant,100real,GAN,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
croissant,100real,DM,0.8571,1.0000,1.0000,1.0000,0.6667,0.8000,1.0000,0.8889,0.8000
croissant,70r_30s,GAN,0.8571,0.9750,0.9503,0.9444,0.7000,0.8500,0.8750,0.8947,0.7778
croissant,70r_30s,DM,0.9286,1.0000,1.0000,0.9091,1.0000,1.0000,0.7500,0.9524,0.8571
croissant,50_50,GAN,0.9643,0.9937,0.9861,1.0000,0.8889,0.9500,1.0000,0.9744,0.9412
croissant,50_50,DM,0.9643,1.0000,1.0000,1.0000,0.8889,0.9500,1.0000,0.9744,0.9412
croissant,30r_70s,GAN,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
croissant,30r_70s,DM,0.9643,1.0000,1.0000,1.0000,0.8889,0.9500,1.0000,0.9744,0.9412
croissant,100syn,GAN,0.4643,0.8438,0.7983,1.0000,0.3478,0.2500,1.0000,0.4000,0.5161
croissant,100syn,DM,0.9286,1.0000,1.0000,0.9091,1.0000,1.0000,0.7500,0.9524,0.8571
