product,ratio,model_type,accuracy,roc_auc,pr_auc,precision_good,precision_bad,recall_good,recall_bad,f1_score_good,f1_score_bad
donut,100real,GAN,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
donut,100real,DM,0.9885,0.9993,0.9995,0.9756,1.0000,1.0000,0.9787,0.9877,0.9892
donut,70r_30s,GAN,0.8736,0.9980,0.9985,0.7843,1.0000,1.0000,0.7660,0.8791,0.8675
donut,70r_30s,DM,0.9943,0.9995,0.9996,0.9877,1.0000,1.0000,0.9894,0.9938,0.9947
donut,50_50,GAN,0.9425,0.9988,0.9991,0.8889,1.0000,1.0000,0.8936,0.9412,0.9438
donut,50_50,DM,0.9425,0.9999,0.9999,1.0000,0.9038,0.8750,1.0000,0.9333,0.9495
donut,30r_70s,GAN,0.9885,0.9979,0.9985,0.9875,0.9894,0.9875,0.9894,0.9875,0.9894
donut,30r_70s,DM,0.9540,1.0000,1.0000,0.9091,1.0000,1.0000,0.9149,0.9524,0.9556
donut,100syn,GAN,0.8736,0.9915,0.9929,1.0000,0.8103,0.7250,1.0000,0.8406,0.8952
donut,100syn,DM,0.9943,1.0000,1.0000,1.0000,0.9895,0.9875,1.0000,0.9937,0.9947
