almonds;Almond
asparagus_bundle;Asparagus Bundle
aubergine;Aubergine
loose_bananas;Banana
bramley_apples;Bramley Apple
organic_bunched_beetroot;Bunched Beetroot
butternut_squash;Butternut Squash
loose_carrots;Carrot
cashews;Cashew
cauliflower;Cauliflower
celeriac_loose;Celeriac
loose_cherry_on_the_vine_tomatoes;Cherry Tomato
loose_clementines;Clementine
loose_vine_tomatoes;Tomato
loose_courgettes;Courgette
cucumber;Cucumber
Empty;Empty
galia_melon;Galia Melon
loose_garlic;Garlic
ginger_loose;Ginger
honeydew_melon;Honeydew Melon
loose_kiwi;Kiwi
ready_to_eat_xl_avocado;Large Avocado
iceberg_lettuce;Lettuce
loose_limes;Lime
loose_mango;Mango
medium_avocado;Medium Avocado
large_loose_onions;Onion
loose_pears;Pear
pineapple;Pineapple
loose_pink_lady_apples;Pink Lady Apple
pistachios;Pistachio
pomegranate;Pomegranate
loose_baking_potatoes;Potato
loose_red_apples;Red Apple
red_cabbage;Red Cabbage
grapefruit_loose;Red Grapefruit
loose_red_pepper;Red Pepper
loose_speciality_italian_lemons;Lemon
spring_onions;Spring Onion
swede;Swede
sweet_potatoes;Sweet Potato
watermelon;Watermelon
loose_white_cabbage;White Cabbage
loose_yellow_pepper;Yellow Pepper
packaged_product;Packaged Product
